,Curso_PRE,Nivel_PRE,Codigo,Edad,Genero_PRE,Decision,Otros_campus,Ingenieria_antes,Valoracion_ingenierias_PRE,Dedicacion_PRE,Trabajo_padre,Trabajo_madre,Posicion_clase,Tipo_estudiante,Gustar_PRE,Estudiar_PRE,Entender_PRE,No_entender_PRE,Profesional_PRE,Actividades_PRE,Carrera_PRE,Facilidad_PRE,Disfrutar_PRE,No_trabajo_PRE,Mundo_mejor_PRE,Interes_asignaturas_PRE,Salida_profesional_PRE,Actividades_instituto_PRE,Dificultad_asignaturas_PRE,Trabajo_PRE,Respeto_cientificos_PRE,Efecto_vidas_PRE,No_gustar_PRE,Examenes_PRE,Decisiones_personales_PRE,Curso_POST,Nivel_POST,Genero_POST,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion_POST,Valoracion_ingenierias_POST,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar_POST,Estudiar_POST,Entender_POST,No_entender_POST,Profesional_POST,Actividades_POST,Carrera_POST,Facilidad_POST,Disfrutar_POST,No_trabajo_POST,Mundo_mejor_POST,Interes_asignaturas_POST,Salida_profesional_POST,Actividades_instituto_POST,Dificultad_asignaturas_POST,Trabajo_POST,Respeto_cientificos_POST,Efecto_vidas_POST,No_gustar_POST,Examenes_POST,Decisiones_personales_POST
10,AUTOMATIZACION,SENIOR,2804143,17,Chico,"Yo, Mis padres",No,Sí,Muy buena,,ADE,no trabaja,Entre los primeros de la clase,Muy buen estudiante,5,5,4,1,1,4,5,4,5,2,5,5,5,5,3,4,4,3,1,1,3,AUTOMATIZACION,SENIOR,Chico,Regular,9,1,Buena,No asistí,Mala,Bien,Sí,ingeniería informática,Muy buena,Muy bien,Sí,Sí,7,el brazo robótico,el primer día,pasar un poco menos de tiempo en las luces del primer día,5,5,5,1,5,4,5,4,4,1,5,5,5,4,1,3,3,3,1,1,4
11,AUTOMATIZACION,SENIOR,2807679,15,Chico,Yo,No,Sí,Muy buena,,en un ministerio,directora de marketing de una empresa,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,5,5,4,5,4,5,5,5,5,4,4,4,5,1,3,5,INTELIGENCIA ARTIFICIAL,SENIOR,Chico,Bien,10,10,Muy buena,Buena,Muy buena,Bien,Sí,A una ingeniería,Muy buena,Muy bien,Sí,Sí,9,Los profesores y el buen rollo que había en clase a la hora de hacer ejercicios,"Nada ha sido malo, todo ha estado bien",nada,5,5,5,1,1,5,5,4,5,3,5,5,5,5,4,3,3,5,1,4,5
12,AUTOMATIZACION,SENIOR,2901873,14,Chico,Mis padres,No,No sé,Buena,,Abogado,Abogada y profesora,"Por el medio, pero más cerca de los primeros",Dentro de la media,5,4,5,1,1,3,3,4,4,1,5,4,5,4,3,5,4,4,1,3,4,DRONES,SENIOR,Chico,Regular,9,9,Buena,Regular,Buena,Bien,No sé,Cientifico,Buena,Bien,Sí,No,8,Terminar los drones,Programarlos,La facilidad,3,4,4,1,1,3,3,3,4,1,4,4,4,3,3,5,4,4,1,3,3
13,BIOINGENIERIA,JUNIOR,108000,11,Chica,Yo,2020 (online),Sí,Muy buena,,Ingeniero de caminos,Profesora de derecho,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,4,5,4,5,1,5,5,5,4,4,5,3,4,1,4,4,EDICION DE FOTO Y VIDEO,JUNIOR,Chica,Muy bien,9,1,No asistí,No asistí,Muy buena,Bien,Sí,Astrofísica,Buena,Muy bien,Sí,Sí,8,Edición de foto,creo que podríamos haberlo hecho más profesionalmente.,el funcionamiento de los ordenadores,5,5,5,1,2,4,5,4,5,1,5,5,4,4,5,4,3,4,1,3,3
14,BIOINGENIERIA,JUNIOR,157000,11,Chico,"Yo, Mis padres",No,No sé,Muy buena,,santander(empresa),no me acuerdo,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,INGENIERIA MECANICA,JUNIOR,Chico,Bien,10,10,Muy buena,Muy buena,Buena,Muy bien,No sé,arquitecto,Buena,Bien,Sí,Sí,10,el profesor,nada,nada,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
15,BIOINGENIERIA,JUNIOR,249000,10,Chica,"Yo, Mis padres",No,Sí,Muy buena,,En el Baco de españa,E,Entre los primeros de la clase,Muy buen estudiante,5,5,5,2,1,5,5,5,5,2,5,5,5,5,5,5,5,5,2,5,5,ROBOTICA,JUNIOR,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Bioingenieria,Muy buena,Muy bien,Sí,Sí,10,Programar y los profesores.,Nada,Nada,5,5,5,1,3,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5
16,BIOINGENIERIA,JUNIOR,303884,13,Chico,Mis padres,No,No sé,Buena,,Ingeniero aeronáutico,Juzgado de menores,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,4,5,2,3,4,3,3,4,2,5,4,3,4,5,3,3,5,2,5,4,BIOINGENIERIA,JUNIOR,Chico,Muy bien,10,10,Muy buena,No asistí,Regular,Muy bien,No sé,No sé,Buena,Muy bien,Sí,Sí,9,Ver mi ADN en el microscopio,Metano del laboratorio de química,No sé,4,5,5,3,3,4,3,4,5,3,5,3,3,5,5,3,2,5,1,4,4
17,BIOINGENIERIA,JUNIOR,608000,11,Chica,Yo,No,Sí,Muy buena,,transporte de gas natural,banco,Entre los primeros de la clase,Buen estudiante,5,5,5,1,1,4,5,5,4,1,5,4,5,5,1,5,5,3,1,1,4,VIDEOJUEGOS 2D,JUNIOR,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,veterinaria,Muy buena,Bien,No,No,9,el juego de las galletas,la hora de entrada,entrar una hora mas tarde,4,5,5,1,1,4,5,5,5,1,5,5,5,5,1,3,5,5,1,1,4
18,BIOINGENIERIA,JUNIOR,710515,13,Chica,"Yo, Mis padres",No,No,Buena,,Arquitecto,Aparejadora,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,2,5,4,1,3,2,3,5,3,5,4,2,5,2,3,4,5,1,4,5,EDICION DE FOTO Y VIDEO,JUNIOR,Chica,Muy bien,10,10,No asistí,No asistí,Regular,Muy bien,Sí,zoóloga,Buena,Muy bien,Sí,Sí,8,editar videos,lo mas complicado de photoshop,"en cuantos al rato de la mañana que estamos aqui, creo que deberia ser una hora menos",5,5,4,4,1,3,5,1,4,1,5,3,4,4,1,5,3,5,1,5,4
19,BIOINGENIERIA,JUNIOR,912000,12,Chico,Yo,No,No sé,Buena,,en el csn,en el csn,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,3,5,2,3,2,5,4,4,3,5,3,3,3,2,3,4,5,1,2,5,VIDEOJUEGOS 2D,JUNIOR,Chico,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,No,no lo se soy pequeño y no repitan preguntas,Me da igual,Bien,Sí,Sí,10,divertirme,los bugs,nada,5,3,5,1,3,2,3,5,5,3,5,3,3,5,3,3,3,5,1,1,5
20,BIOINGENIERIA,JUNIOR,1109806,12,Chica,Mis padres,No,No sé,Buena,,Ferrovial,Doctora,Entre los primeros de la clase,Buen estudiante,3,4,4,2,3,1,4,3,4,4,5,4,3,3,4,3,4,4,4,3,4,BIOINGENIERIA,JUNIOR,Chica,Bien,9,10,Buena,No asistí,Muy buena,Muy bien,Sí,Biomedicina,Buena,Bien,Sí,Sí,9,Microscopio,Cuando nos hablaron del corazon,Nada,4,4,5,2,2,3,4,4,4,2,5,3,4,3,4,3,5,4,1,4,4
21,BIOINGENIERIA,JUNIOR,1508281,12,Chico,"Yo, Mis padres",No,Sí,Muy buena,,Abogado,Procuradora,Entre los primeros de la clase,Buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,3,5,4,5,1,1,5,BIOINGENIERIA,JUNIOR,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,"Algo relacionado sobre la ciencia, posiblemente la ingeniería biomedicina",Muy buena,Bien,Sí,Sí,10,Experimento de metano en el laboratorio de química,No se,No se,5,4,5,1,1,5,4,5,5,1,5,5,4,5,2,5,4,5,1,1,5
22,BIOINGENIERIA,JUNIOR,1601778,13,Chica,"Yo, Mis padres",No,No sé,Buena,,Informática.,Economía de un banco.,Entre los primeros de la clase,Muy buen estudiante,4,4,3,2,3,3,4,4,4,2,5,4,3,4,1,4,4,5,1,2,3,BIOINGENIERIA,JUNIOR,Chica,Bien,9,9,Muy buena,Buena,Muy buena,Muy bien,Sí,En algo relacionado con ciencias o temas policíacos.,Buena,Muy bien,Sí,Sí,10,Mirar por el microscopio.,Nada.,Nada.,5,5,4,2,1,3,4,4,4,1,5,4,5,4,1,5,4,5,1,1,5
23,BIOINGENIERIA,JUNIOR,1607000,13,Chica,"Yo, Mis padres",No,No sé,Buena,,Farmacéutico,Farmacéutica,Entre los primeros de la clase,Buen estudiante,4,5,4,1,1,5,5,4,5,1,5,5,5,5,1,5,5,5,1,2,5,MINECRAFT,JUNIOR,Chico,Bien,9,9,No asistí,No asistí,Buena,Muy bien,Sí,Ingeniería aeroespacial/informática,Muy buena,Bien,Sí,Sí,9,construir nuestra propia casa,no haber hecho cosa técnicas en profundidad,nada,5,5,5,1,1,4,5,5,5,1,5,4,5,5,1,4,3,5,1,1,5
24,BIOINGENIERIA,JUNIOR,1812000,11,Chica,Yo,No,No sé,Buena,,en un banco,en un banco,"Por el medio, pero más cerca de los primeros",Dentro de la media,5,3,3,2,2,4,4,3,4,2,5,4,4,4,3,4,2,4,1,3,3,EDICION DE FOTO Y VIDEO,JUNIOR,Chica,Muy bien,10,6,Mala,Mala,,Muy bien,No,No se...,Me da igual,Bien,Sí,Sí,10,Todo,A veces aburrido,Que sean actividades más divertidas,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,BIOINGENIERIA,JUNIOR,2107000,13,Chico,Yo,"2017, 2018, 2019",Sí,Buena,,derecho,psicología,"Por el medio, pero más cerca de los primeros",Dentro de la media,4,4,4,2,4,3,4,4,4,2,4,4,4,4,2,4,3,4,2,2,4,ENERGIAS RENOVABLES,JUNIOR,Chico,Muy bien,9,8,Buena,No asistí,Buena,Bien,Sí,Algo que no sea letras,Buena,Bien,Sí,Sí,7,shell shockers,no lo se,no lo se,4,4,4,1,4,2,4,4,4,2,4,4,4,4,2,4,3,4,2,2,3
26,BIOINGENIERIA,JUNIOR,2505000,12,Chica,Yo,No,Sí,Muy buena,,medico,medico,Entre los primeros de la clase,Muy buen estudiante,5,4,5,1,1,4,4,4,5,2,5,5,4,5,5,4,4,5,1,3,5,CIENCIA EN LA COCINA,JUNIOR,Chica,Bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,Me gustaría dedicarme a una carrera de ciencias.,Buena,Muy bien,Sí,Sí,8,"Todo ha sido genial, he aprendido a hacer pasta fresca, pan, trampantojos y, ¡CAVIAR Y ESFERIFICAIONES!","Pues que nos manchamos un montón, pero así es la cocina, así que, no hay nada malo.","Pues...no se me ocurre nada, está todo genial.",5,4,5,2,2,3,4,4,5,2,5,5,4,5,5,4,5,5,1,3,5
27,BIOINGENIERIA,JUNIOR,2604000,10,Chica,Yo,No,Sí,Muy buena,,Ingeniero de Telecomunicaciones,Ingeniero de Telecomunicaciones,Entre los primeros de la clase,Muy buen estudiante,5,4,5,2,1,5,4,4,5,2,5,5,4,5,3,4,5,4,1,2,5,ROBOTICA,JUNIOR,Chica,Bien,9,9,Regular,Regular,Regular,Bien,No sé,Arquitecta,Buena,Bien,Sí,Sí,8,Los materiales,nada,nada,4,3,4,1,3,3,3,4,3,2,4,4,3,4,1,4,4,4,1,1,4
28,BIOINGENIERIA,JUNIOR,2707000,9,Chica,Mis padres,No,No sé,Buena,,En una empresa de electricidad,En un banco,"Por el medio, pero más cerca de los primeros",Dentro de la media,4,3,5,1,3,2,3,4,5,4,5,5,3,4,4,3,5,4,1,4,5,VIDEOJUEGOS 2D,JUNIOR,Chico,Regular,9,1,Muy buena,No asistí,Buena,Muy bien,Sí,Químico,Buena,Muy bien,Sí,Sí,9,diseñar objetos para videojuegos,no se,no se,4,5,4,1,1,3,5,4,4,1,5,4,5,4,4,5,4,5,1,2,4
29,BIOINGENIERIA,JUNIOR,3006000,11,Chico,Mis padres,No,Sí,Muy buena,,trabaja como arquitecto,trabaja como arquitecta,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,2,5,3,5,1,1,5,MINECRAFT,JUNIOR,Chico,Muy bien,8,10,No asistí,No asistí,Buena,Muy bien,No,A programar ordenadores,Buena,Muy bien,Sí,Sí,9,aprender cosas con redstone,aprender a crear servers,nada,5,3,5,1,5,4,2,4,5,5,3,4,1,4,2,1,2,3,2,1,4
30,BIOINGENIERIA,JUNIOR,3009335,12,Chico,"Yo, Mis padres",No,No sé,Buena,,En el banco de España,En Nokia,Entre los primeros de la clase,Muy buen estudiante,1,5,5,1,1,5,5,5,5,4,5,5,5,5,1,4,4,5,1,1,5,BIOINGENIERIA,JUNIOR,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,No sé,No sé,Muy buena,Muy bien,Sí,Sí,10,Los profesores,Nada,No sé,5,5,5,1,1,5,5,5,5,5,5,5,5,5,1,5,4,5,1,1,5
31,BIOINGENIERIA,JUNIOR,664063354,12,Chico,Yo,2019,Sí,Muy buena,,Medico,Médico,Entre los primeros de la clase,Buen estudiante,5,4,5,1,2,5,4,5,5,1,5,4,4,4,1,4,4,3,2,1,3,MINECRAFT,JUNIOR,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,no se,Muy buena,Bien,Sí,Sí,10,no se,no se,,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,4,1,1,2
32,BIOINGENIERIA,SENIOR,101047,15,Chica,Mis padres,No,Sí,Me da igual,,no tengo,derecho,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,5,5,4,1,1,3,4,3,5,1,3,3,2,3,3,3,3,3,3,3,4,VIDEOJUEGOS 3D,SENIOR,Chica,Bien,10,5,Buena,Regular,Buena,Bien,No sé,bioquímica y biotecnología,Me da igual,Muy bien,Sí,No,10,diseñar mi propio estilo de videojuego,no podia seguir los esquemas,aprender ingles y tener mas imaginacion,5,5,5,1,5,3,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3
33,BIOINGENIERIA,SENIOR,106843,15,Chica,Yo,2016,Sí,Muy buena,,Funcionario (teleco),Ingeniera informática en Babel,Entre los primeros de la clase,Buen estudiante,5,5,5,1,2,4,4,4,5,1,5,3,4,4,2,4,2,3,1,1,3,BIOINGENIERIA,SENIOR,Chica,Muy bien,10,10,Buena,No asistí,,Muy bien,Sí,"Algo relacionado con la psicología y la neuróloga, o quizá algo relacionado con la biología en general",Buena,Muy bien,Sí,Sí,10,"La parte de teoría, sobre todo, neuróloga",Nada :D,Añadir más cursos,4,5,5,2,1,4,4,4,5,1,5,4,5,4,1,4,3,5,1,2,5
34,BIOINGENIERIA,SENIOR,201095,17,Chica,Yo,No,Sí,Buena,,Estudió ingeniería en ICAI y trabaja en una empresa,Es técnica de auditoría (funcionaria),Entre los primeros de la clase,Muy buen estudiante,5,5,4,1,1,4,5,4,5,1,5,5,5,5,3,4,3,5,1,4,4,BIOINGENIERIA,SENIOR,Chica,Muy bien,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,Algo relacionado con la ciencia y la salud,Muy buena,Muy bien,Sí,Sí,9,"Las prácticas (microscopio, aparatos) y profesores",No ha habido nada que podría ser considerado como lo peor,,5,5,5,1,1,4,5,4,4,1,5,5,5,5,4,5,3,5,1,4,4
35,BIOINGENIERIA,SENIOR,211655,16,Chico,Mis padres,No,Sí,Muy buena,,Notario,Fiscal,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,4,5,2,3,4,3,3,5,2,5,5,4,5,4,4,4,5,1,4,4,BIOINGENIERIA,SENIOR,Chico,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,No lo sé,Muy buena,Bien,Sí,Sí,9,"Lo mejor del curso me ha parecido la cantidad de experimentos interesantes que hemos hecho, ya que en mi colegio (y creo que en los de la mayoría de alumnos del curso) no bajamos apenas al laboratorio, por lo que me ha gustado. Además, ha sido de mi agrado la sensación de dar contenido que se imparte en el colegio y sentir que es totalmente diferente al colegio ya que la atmósfera y el ambiente es distinto y no se siente presión alguna (o al menos en mi caso).","El horario, la hora de comienzo me parece muy pronto. No obstante, entiendo y comprendo que la hora de inicio sea la establecida (08:30).",,5,4,5,2,3,5,3,3,5,2,5,5,4,5,3,4,4,5,1,4,5
36,BIOINGENIERIA,SENIOR,306636,15,Chico,"Yo, Mis padres","2018, 2019, 2020 (online)",Sí,Muy buena,,Panadero,Anticuaria,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,4,5,1,1,5,BIOINGENIERIA,SENIOR,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Matematico/ingeniero,Muy buena,Muy bien,Sí,Sí,10,Mirar cosas en el microscopio,Nada,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,5
37,BIOINGENIERIA,SENIOR,401142,15,Chica,Yo,No,Sí,Buena,,Ingeniero de montes y profesor de universidad,Ingeniero de montesy profesora de universidad,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,5,5,4,5,1,5,3,5,5,2,5,3,3,1,3,5,BIOINGENIERIA,SENIOR,Chica,Bien,10,10,Buena,No asistí,,Bien,No sé,Veterinaria,Buena,Regular,Sí,Sí,8,Los experimetos y debates,Nada,,5,5,5,2,2,5,5,4,5,1,4,3,5,5,3,5,4,5,1,4,5
38,BIOINGENIERIA,SENIOR,401577,16,Chica,Yo,No,Sí,Buena,,Economía,Economía,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,3,5,1,1,4,INGENIERIA ELECTRONICA,SENIOR,Chica,Bien,10,10,Mala,No asistí,Buena,Muy bien,Sí,Nanotecnología,Buena,Bien,Sí,Sí,8,Kahoot,Laboratorios,Visita a los laboratorios,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,3,5,1,1,4
39,BIOINGENIERIA,SENIOR,502000,14,Chica,Yo,No,Sí,Buena,,médico,funcionaria,Entre los primeros de la clase,Muy buen estudiante,4,5,5,1,1,4,5,4,4,1,4,3,4,4,1,4,3,5,1,1,4,BIOINGENIERIA,SENIOR,Chica,Bien,10,10,Muy buena,No asistí,Buena,Bien,Sí,biotecnología- ingeniería biomédica,Buena,Muy bien,Sí,Sí,10,mirar al microscopio,ver el ADN (escupir),no,5,4,4,1,1,5,4,3,5,1,4,3,5,4,1,4,4,5,1,1,4
40,BIOINGENIERIA,SENIOR,505006,15,Chica,Yo,No,Sí,Buena,,Bioquímica,Fisica quimica,Entre los primeros de la clase,Muy buen estudiante,5,5,4,1,1,4,5,5,5,1,5,5,5,5,3,5,5,5,1,2,4,BIOINGENIERIA,SENIOR,Chica,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,Neurociencia o Ingeniería Biomédica,Muy buena,Muy bien,Sí,Sí,10,Los experimentos y poder conocer mejor las carreras de ciencias,Las mascarillas,No creo que sea necesario cambiar nada,5,5,5,2,1,4,5,5,5,1,5,5,5,5,1,5,5,5,1,3,5
