Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias_despues,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales,Otros_campus,Decision,Edad,Valoracion_ingenierias_antes,Ingenieria_antes,Valoracion_ingenierias
AUTOMATIZACION,SENIOR,108472,Chico,Bien,10,1,Muy buena,Buena,Regular,Muy bien,Sí,Futbolista,Buena,Muy bien,Sí,Sí,10,El temario y tener un profesor excelente,nada,Poca cosa,3,3,4,2,3,4,3,4,3,2,5,3,3,3,1,3,2,4,2,1,4,No,Yo,13,Buena,No sé,Igual
INGENIERIA MECANICA,SENIOR,108472,Chico,Poco,7,9,Buena,Buena,Regular,Bien,No sé,futbolista,Me da igual,Muy bien,Sí,No,6,La F1,El diseño 3D,Adaptar el nivel a los estudiantes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,Yo,13,Buena,No sé,Peor
EDICION DE FOTO Y VIDEO,JUNIOR,109000,Chico,Muy bien,10,10,No asistí,No asistí,,Muy bien,No sé,Tele comunicaciones,Buena,Muy bien,Sí,Sí,10,Aprender nuevas cosas y hacer nuevos amigos,Bastantes cosas dificiles,No sé,4,3,5,2,3,3,3,4,4,4,4,3,3,3,4,3,5,4,1,5,4,No,Yo,10,Buena,No sé,Igual
INGENIERIA MECANICA,SENIOR,109000,Chico,Bien,10,10,Muy buena,No asistí,,Bien,Sí,Ingeniería industrial,Muy buena,Bien,Sí,Sí,10,los profesores y la introducción a la escuela,heramos demasiados en clase y hay gente que no se lo tomaba en serio,grupos mas pequeños,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,4,5,1,1,5,No,Yo,10,Buena,No sé,Mejor
MINECRAFT,JUNIOR,109000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,no sé,Buena,Muy bien,Sí,Sí,10,Conocer nuevas cosas y gente,no se me ocurre nada,no sé,4,2,4,2,4,2,2,4,4,4,4,5,2,2,4,2,4,4,2,4,4,No,Yo,10,Buena,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,109000,Chico,Bien,10,10,Buena,No asistí,Muy buena,Muy bien,No sé,No sé,Buena,Muy bien,Sí,Sí,9,Conocer cosas y gente,Mucho trabajo,No sé,4,3,4,2,3,2,2,4,4,3,4,4,2,2,4,3,5,4,2,4,4,No,Yo,10,Buena,No sé,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,109196,Chico,Bien,8,8,Muy buena,Muy buena,Muy buena,Muy bien,Sí,"Ingenieria de telecomunicaciones, fisica o informatica",Muy buena,Muy bien,Sí,Sí,10,paython,la teoria,"si, creo  que se podria enseñar mas paython, porque creo que se le da mas importancia a scratch y este ultimo es mas facil y simple",5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,No,"Yo, Mis amigos",13,Muy buena,Sí,Igual
BIOINGENIERIA,JUNIOR,157000,Chico,Muy bien,10,10,Muy buena,Buena,Buena,Muy bien,No sé,arquitecto,Muy buena,Muy bien,Sí,No,10,los compañeros,no se,no,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,"Yo, Mis padres",11,Muy buena,No sé,Igual
INGENIERIA MECANICA,JUNIOR,157000,Chico,Bien,10,10,Muy buena,Muy buena,Buena,Muy bien,No sé,arquitecto,Buena,Bien,Sí,Sí,10,el profesor,nada,nada,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,"Yo, Mis padres",11,Muy buena,No sé,Peor
BIOINGENIERIA,SENIOR,201095,Chica,Muy bien,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,Algo relacionado con la ciencia y la salud,Muy buena,Muy bien,Sí,Sí,9,"Las prácticas (microscopio, aparatos) y profesores",No ha habido nada que podría ser considerado como lo peor,,5,5,5,1,1,4,5,4,4,1,5,5,5,5,4,5,3,5,1,4,4,No,Yo,17,Buena,Sí,Mejor
DISEÑO 3D,JUNIOR,202000,Chica,Muy bien,7,7,Muy buena,No asistí,Buena,Bien,No,no tengo ni idea,Me da igual,Regular,Sí,Sí,9,el lapiz 3D,nada,nada,3,1,5,3,2,1,1,1,2,5,4,2,2,1,5,1,4,3,5,5,4,No,"Yo, Mis padres",13,Buena,No sé,Peor
MINECRAFT,JUNIOR,202000,Chica,Muy bien,10,10,Muy buena,Muy buena,Mala,Muy bien,No sé,jugadora de baloncesto,Me da igual,Bien,Sí,Sí,10,EL PVP,nada,nada,3,1,4,2,1,1,1,3,2,4,2,1,1,1,1,1,3,1,2,2,3,No,"Yo, Mis padres",13,Buena,No sé,Peor
VIDEOJUEGOS 2D,JUNIOR,202000,Chico,Bien,9,10,Buena,No asistí,Buena,Bien,Sí,No se,Buena,Muy bien,Sí,Sí,8,Los laboratorios,Todo ha sido muy bueno,El programa en el que trabajamos,5,5,5,3,2,4,5,4,4,2,5,5,5,5,1,5,4,2,1,1,4,No,"Yo, Mis padres",13,Buena,No sé,Igual
DISEÑO 3D,SENIOR,204543,Chica,Bien,9,9,Muy buena,No asistí,Muy buena,Muy bien,Sí,Ingeniería :),Muy buena,Muy bien,Sí,Sí,10,Poder llevarte lo que haces a casa y escuchar a BTS :),"Nada, me gustó todo :)",Nada :),4,5,5,2,1,3,5,5,3,4,5,3,5,5,5,4,5,4,1,4,3,2019,Yo,16,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,207323,Chico,Muy bien,10,10,No asistí,No asistí,Buena,Muy bien,No,Ingeniero informatico,Me da igual,Bien,Sí,Sí,10,PVP,Actividad crafteos,nada :),1,1,4,1,1,1,1,1,1,1,3,1,1,1,4,1,4,1,5,1,3,2019,Yo,13,Me da igual,No sé,Igual
EDICION DE FOTO Y VIDEO,SENIOR,211000,Chico,Bien,10,10,Regular,Regular,Regular,Muy bien,No sé,NO C,Me da igual,Regular,Sí,No,8,me manejo con más soltura,ya conocía previamente varias cosas que hemos dado,"hacer clases por niveles, no por edad",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,No,Mis padres,11,Buena,No sé,Peor
BIOINGENIERIA,SENIOR,211655,Chico,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,No lo sé,Muy buena,Bien,Sí,Sí,9,"Lo mejor del curso me ha parecido la cantidad de experimentos interesantes que hemos hecho, ya que en mi colegio (y creo que en los de la mayoría de alumnos del curso) no bajamos apenas al laboratorio, por lo que me ha gustado. Además, ha sido de mi agrado la sensación de dar contenido que se imparte en el colegio y sentir que es totalmente diferente al colegio ya que la atmósfera y el ambiente es distinto y no se siente presión alguna (o al menos en mi caso).","El horario, la hora de comienzo me parece muy pronto. No obstante, entiendo y comprendo que la hora de inicio sea la establecida (08:30).",,5,4,5,2,3,5,3,3,5,2,5,5,4,5,3,4,4,5,1,4,5,No,Mis padres,16,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,225000,Chico,Bien,9,10,No asistí,No asistí,,Muy bien,No sé,Piloto de Fórmula 1,Buena,Muy bien,Sí,Sí,8,Photoshop,Premier,Nada,4,4,4,1,3,2,4,3,3,3,5,4,3,4,2,3,5,5,2,2,4,No,Mis padres,11,Buena,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,225000,Chico,Bien,9,9,Buena,No asistí,Regular,Muy bien,No sé,Piloto de fórmula 1,Buena,Muy bien,Sí,Sí,9,Material,No sé,Nada,4,3,5,2,3,2,3,3,2,3,5,4,3,4,2,3,5,5,2,2,5,No,Mis padres,11,Buena,No sé,Igual
BIOINGENIERIA,JUNIOR,249000,Chica,Bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,No lo sé,Muy buena,Muy bien,Sí,Sí,10,Todo,Nada,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,1,1,5,No,"Yo, Mis padres",10,Muy buena,Sí,Igual
ROBOTICA,JUNIOR,249000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,Bioingenieria,Muy buena,Muy bien,Sí,Sí,10,Programar y los profesores.,Nada,Nada,5,5,5,1,3,5,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5,No,"Yo, Mis padres",10,Muy buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,302594,Chico,Bien,10,10,Buena,No asistí,Buena,Muy bien,Sí,Ni idea,Muy buena,Bien,Sí,Sí,9,Me ha gustado todo en general,Me queme el dedo :/,,5,5,5,1,2,3,4,4,5,3,5,4,5,3,4,3,4,3,1,2,5,"2017, 2018, 2019",Yo,16,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,302848,Chica,Bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ingeniera o dedicarme a el mundo de la economía,Muy buena,Muy bien,Sí,No,10,"La forma en las que las profesoras explicaban todo con tanta delicadeza y paciencia, y el temario que hemos dado. M eha abierto los ojos a posibles cosas que me interesarían hacer en un futuro",Me parecía que el recreo era muy extenso,,5,5,5,1,1,3,5,4,5,1,5,5,5,5,1,5,5,4,1,3,4,2017,Yo,16,Muy buena,Sí,Igual
BIOINGENIERIA,JUNIOR,303884,Chico,Muy bien,10,10,Muy buena,No asistí,Regular,Muy bien,No sé,No sé,Buena,Muy bien,Sí,Sí,9,Ver mi ADN en el microscopio,Metano del laboratorio de química,No sé,4,5,5,3,3,4,3,4,5,3,5,3,3,5,5,3,2,5,1,4,4,No,Mis padres,13,Buena,No sé,Igual
CIBERSEGURIDAD,SENIOR,303941,Chico,Regular,7,9,Buena,No asistí,Mala,Regular,Sí,Física,Buena,Muy bien,Sí,Sí,4,El recreo o la salida.,Que algunas cosas no tienen sentido.,La forma de dar la clase y esas cosas.,5,4,5,1,2,3,4,4,5,1,5,4,4,4,2,3,4,4,1,2,3,"2018, 2019",Yo,14,Buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,303941,Chico,Regular,9,10,Buena,No asistí,,Bien,Sí,Paso de decirlo.,Buena,Muy bien,No,No,7,Los profesorado.,Mucho coche.,Hablar de más cosas y de forma menos extensa.,5,4,4,1,2,2,4,4,5,3,5,4,4,4,2,3,4,4,1,2,3,"2018, 2019",Yo,14,Buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,304000,Chico,Bien,9,9,Muy buena,Buena,Regular,Muy bien,No sé,No sé,Buena,Muy bien,Sí,Sí,9,El conocimiento de los distintos ataques que te pueden hacer,Despertarme por las mañanas,,3,3,4,2,3,4,3,4,3,2,3,3,4,4,2,3,3,4,2,2,4,No,Mis padres,15,Buena,Sí,Igual
MINECRAFT,JUNIOR,304000,Chico,Bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,no lo se,Buena,Muy bien,Sí,Sí,10,todo,casi nada,no se,5,3,3,1,1,2,1,1,3,3,3,1,3,3,3,3,3,3,1,3,3,No,Mis padres,15,Buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,305405,Chico,Regular,10,10,Muy buena,Buena,Regular,Bien,Sí,ingeniero de software,Muy buena,Bien,Sí,Sí,7,lo relacionado con la seguridad,no se,no se,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,No,Yo,14,Buena,Sí,Mejor
DRONES,SENIOR,306080,Chico,Bien,9,9,Muy buena,No asistí,Muy buena,Muy bien,Sí,Ingeniería aeroespacial,Muy buena,Muy bien,Sí,Sí,9,El Terrabot y la teoría sobre vehículos aéreos.,El primer día.,Espacio del patio.,5,5,4,1,1,4,4,4,4,1,5,4,4,4,3,4,4,4,1,1,4,"2019, 2020 (online)",Yo,16,Muy buena,Sí,Igual
DISEÑO 3D,SENIOR,306394,Chica,Bien,9,9,Muy buena,No asistí,Muy buena,Muy bien,No,"No sé :,)",Buena,Muy bien,Sí,Sí,10,Poder llevarte cosas a casa (y poner bts en clase),Nada :),"Nada, todo ha estado muy bien. Si os apetece, escuchar más Bts es algo que podríais mejorar (stream PERMISSION TO DANCE)",3,1,4,1,1,3,1,4,3,5,4,3,1,1,3,1,4,4,3,1,5,No,Yo,16,Buena,No,Igual
BIOINGENIERIA,SENIOR,306636,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Matematico/ingeniero,Muy buena,Muy bien,Sí,Sí,10,Mirar cosas en el microscopio,Nada,Nada,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,5,"2018, 2019, 2020 (online)","Yo, Mis padres",15,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,SENIOR,307399,Chica,Muy bien,9,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Arquitecta,Muy buena,Muy bien,Sí,Sí,10,Que hemos aprendido química y cocina a la vez,Nada,Un lavavajillas,5,5,5,1,1,5,5,5,5,2,5,5,5,5,1,4,5,5,1,1,5,No,Yo,13,Muy buena,Sí,Igual
DISEÑO 3D,JUNIOR,307399,Chica,Bien,9,9,No asistí,No asistí,Buena,Muy bien,Sí,Arquitecta,Muy buena,Muy bien,Sí,Sí,9,Las figuritas,Esperar,Nada,5,5,5,1,1,5,5,5,5,2,5,5,5,5,1,4,5,5,1,1,5,No,Yo,13,Muy buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,307566,Chica,Muy bien,10,10,Buena,No asistí,Muy buena,Muy bien,Sí,No lo sé pero alguna ingeniería,Muy buena,Bien,Sí,Sí,10,Los problemas con circuitos,Nada,,5,5,5,1,1,5,5,4,5,1,5,4,5,5,3,5,5,5,1,4,5,"2016, 2019, 2020 (online)",Yo,17,Muy buena,Sí,Igual
VIDEOJUEGOS 3D,SENIOR,308894,Chico,Bien,10,5,Muy buena,No asistí,Buena,Regular,Sí,Programación de videojuegos,Muy buena,Bien,Sí,Sí,9,Si,Si,Si,5,5,5,2,2,4,5,4,5,1,4,5,5,4,2,4,4,5,1,2,5,"2016, 2017, 2018","Yo, Mis padres",16,Buena,Sí,Mejor
ENERGIAS RENOVABLES,JUNIOR,310000,Chica,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,No,decoradora de interiores o carpintera,Muy buena,Bien,Sí,Sí,10,todo,nada,nada,4,3,3,5,3,5,2,3,5,3,2,3,3,5,3,3,4,2,1,4,1,No,Yo,10,Muy buena,No,Igual
VIDEOJUEGOS 3D,SENIOR,310605,Chico,Muy bien,10,5,Buena,No asistí,Buena,Muy bien,Sí,No sé,Muy buena,Muy bien,Sí,Sí,10,Muy buen nivel,El profesor va muy rápido,no sé,5,5,5,1,1,4,5,5,5,1,5,5,5,4,2,5,5,5,1,2,4,No,Yo,13,Muy buena,Sí,Igual
DRONES,SENIOR,310825,Chico,Bien,10,10,Muy buena,Muy buena,Muy buena,Bien,Sí,Piloto o ingeniero aeronáutico.,Muy buena,Muy bien,Sí,Sí,10,Los datos interesantes y me ha gustado mucho volar drones y enterarme de los ziplines (drones ambulancia en Africa).,"No había nada malo, a mi personalmente no se me da muy bien la programación, pero todo genial.",La verdad que no se me ocurre nada.,4,5,4,2,1,4,5,3,4,4,5,5,4,5,3,2,5,4,1,3,3,No,Yo,15,Muy buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,311077,Chico,Muy bien,9,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Ingeniero Industrial,Muy buena,Bien,Sí,Sí,10,Los experimentos que se han hecho,Levantarse a las 7 para luego tener 2 horas de teoría,Empezar los cursos más tarde,5,5,5,2,1,4,5,1,5,1,5,4,5,5,5,5,4,4,2,5,4,"2018, 2019",Yo,15,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,311077,Chico,Muy bien,9,9,Muy buena,Buena,Buena,Muy bien,Sí,Ingeniero Industrial,Muy buena,Bien,Sí,Sí,8,Las amistades,Madrugar,,5,5,5,2,1,4,5,3,4,4,5,5,5,5,4,5,4,5,1,5,4,"2018, 2019",Yo,15,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,312047,Chico,Regular,10,10,Muy buena,Muy buena,Muy buena,Bien,No sé,Nose,Buena,Bien,Sí,No,9,El pedro la cris la choni y el santi,Nada,Poca cosa,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,4,No,Mis padres,16,Me da igual,Sí,Mejor
BIOINGENIERIA,SENIOR,401142,Chica,Bien,10,10,Buena,No asistí,,Bien,No sé,Veterinaria,Buena,Regular,Sí,Sí,8,Los experimetos y debates,Nada,,5,5,5,2,2,5,5,4,5,1,4,3,5,5,3,5,4,5,1,4,5,No,Yo,15,Buena,Sí,Igual
AUTOMATIZACION,SENIOR,401577,Chica,Muy bien,10,10,Regular,No asistí,Regular,Bien,Sí,Nanotecnología,Buena,Bien,Sí,Sí,10,La mano robótica y el profesor,la visita al campus,Dar menos charlas,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,2,5,1,2,5,No,Yo,16,Buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,401577,Chica,Bien,10,10,Mala,No asistí,Buena,Muy bien,Sí,Nanotecnología,Buena,Bien,Sí,Sí,8,Kahoot,Laboratorios,Visita a los laboratorios,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,3,5,1,1,4,No,Yo,16,Buena,Sí,Igual
VIDEOJUEGOS 2D,JUNIOR,402000,Chico,Muy bien,10,10,Muy buena,Buena,Buena,Muy bien,No sé,NO LO SE TENGO MUCHOS IDEAS,Buena,Muy bien,Sí,Sí,10,EL ARKANOID,NO AY,NADA,5,5,5,1,1,3,5,3,4,1,5,4,3,5,2,3,4,5,1,3,5,No,Mis padres,9,Buena,No sé,Igual
DISEÑO 3D,SENIOR,403898,Chica,Muy bien,10,10,Buena,No asistí,Buena,Bien,Sí,ingenieria industrial,Buena,Bien,No,Sí,9,el tiempo,las encuestas,nada,5,4,4,1,1,2,4,3,4,2,5,3,5,5,4,4,3,3,1,4,4,"2017, 2019",Yo,16,Muy buena,Sí,Peor
CIBERSEGURIDAD,SENIOR,404000,Chico,Bien,8,9,Muy buena,No asistí,Muy buena,Bien,Sí,No se,Muy buena,Muy bien,Sí,Sí,9,El Capture the Flag,La escasez inicial de ordenadores,Nada,5,5,5,2,1,4,5,5,5,1,5,5,5,5,2,4,4,5,1,2,4,"2016, 2017, 2018, 2019",Yo,14,Muy buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,404000,Chico,Bien,9,9,Muy buena,Buena,Muy buena,Muy bien,Sí,no se,Muy buena,Muy bien,Sí,Sí,9,el ultimo dia,el primer dia,nada,5,5,5,2,2,4,4,4,4,2,4,4,4,4,2,4,4,4,2,2,4,"2016, 2017, 2018, 2019",Yo,14,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,408000,Chico,Muy bien,10,10,No asistí,No asistí,Mala,Muy bien,No sé,Cantante y actor.,Muy buena,Muy bien,Sí,Sí,10,Cocinar.,Todo me ha gustado mucho.,"No, está muy bien así.",5,3,5,1,3,4,3,5,5,1,5,4,3,4,3,3,4,5,1,1,5,No,Yo,11,Buena,No sé,Mejor
MINECRAFT,JUNIOR,409000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,a ingeniero de caminos,Muy buena,Muy bien,Sí,Sí,10,aprender redstone,levantarse pronto,me gustaría que empiece la clase a las 9:00,3,3,5,1,5,3,3,5,5,1,5,5,5,3,1,1,5,5,1,1,5,No,Mis padres,9,Buena,No sé,Mejor
VIDEOJUEGOS 2D,JUNIOR,409000,Chico,Bien,10,10,Muy buena,No asistí,Muy buena,Bien,No sé,a ingeniero de caminos,Buena,Muy bien,Sí,Sí,10,jugar a tus propios videojuegos,lo pronto que hay que despertarse,"que en vez de empezar a las 8:50 despertarse a las 9:00
",3,3,5,1,5,4,3,5,4,5,5,3,5,4,1,1,5,5,1,1,5,No,Mis padres,9,Buena,No sé,Igual
EMPRENDE ICADE,SENIOR,410780,Chico,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,Ingeniero mecánico,Muy buena,Muy bien,Sí,Sí,8,Loa dinámica de Harvard,la hora de llegada,la hora de llegada,4,3,5,2,4,4,4,4,5,3,5,4,4,4,3,4,4,5,2,3,3,2019,Yo,15,Buena,No sé,Mejor
INGENIERIA MECANICA,SENIOR,410780,Chico,Bien,8,9,Muy buena,No asistí,Buena,Bien,Sí,Bolsa,Buena,Muy bien,Sí,Sí,8,La visita al laboratorio de los motores,El diseño de piezaa,falta de proyectos en grupos,4,4,4,3,4,4,3,4,4,3,5,4,3,3,3,3,4,4,2,3,3,2019,Yo,15,Buena,No sé,Igual
VIDEOJUEGOS 3D,SENIOR,411655,Chico,Bien,9,5,Buena,No asistí,Muy buena,Bien,No sé,No sé,Buena,Muy bien,Sí,Sí,9,Todo,"El recreo, pero es porque no conozco a nadie",,3,3,4,2,3,2,3,3,3,3,5,4,3,3,4,3,4,2,2,4,3,No,"Yo, Mis padres",14,Buena,No sé,Igual
CIENCIA EN LA COCINA,JUNIOR,501000,Chico,Muy bien,9,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,A algo relacionado con la física.,Muy buena,Muy bien,Sí,Sí,10,La comida,Que el patio es muy pequeño,Por ahora nada,5,5,5,1,4,4,3,5,5,2,5,5,4,5,1,4,5,5,1,1,5,No,Yo,12,Muy buena,Sí,Igual
ENERGIAS RENOVABLES,JUNIOR,501000,Chica,Muy bien,9,8,Buena,No asistí,Buena,Muy bien,No sé,tengo dudas,Muy buena,Muy bien,Sí,Sí,10,los proyectos,.,.,5,4,5,1,2,4,4,4,5,2,5,4,4,4,2,4,4,5,2,3,4,No,Yo,12,Muy buena,Sí,Igual
BIOINGENIERIA,SENIOR,502000,Chica,Bien,10,10,Muy buena,No asistí,Buena,Bien,Sí,biotecnología- ingeniería biomédica,Buena,Muy bien,Sí,Sí,10,mirar al microscopio,ver el ADN (escupir),no,5,4,4,1,1,5,4,3,5,1,4,3,5,4,1,4,4,5,1,1,4,No,Yo,14,Buena,Sí,Igual
DISEÑO 3D,JUNIOR,504000,Chica,Bien,9,9,No asistí,No asistí,Buena,Muy bien,No sé,No lo se,Buena,Regular,Sí,Sí,9,Era muy divertido,Nada,Nada,4,3,5,2,2,3,3,4,4,3,5,4,3,4,2,3,4,3,2,2,3,"2018, 2019",Mis padres,13,Me da igual,No sé,Mejor
EDICION DE FOTO Y VIDEO,JUNIOR,504000,Chica,Bien,8,7,No asistí,No asistí,Buena,Bien,No,No lo se,Me da igual,Regular,Sí,No,6,era divertido,Que hemos estado demasiado con el ordenador,,3,2,5,2,3,2,2,4,4,3,4,4,2,4,1,3,3,4,2,2,4,"2018, 2019",Mis padres,13,Me da igual,No sé,Igual
