Curso,Nivel,Codigo,Edad,Genero,Decision,Otros_campus,Ingenieria_antes,Valoracion_ingenierias,Dedicacion,Trabajo_padre,Trabajo_madre,Posicion_clase,Tipo_estudiante,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales
BIOINGENIERIA,SENIOR,212006,15,Chico,"Yo, Mis padres",No,Sí,Buena,,Director y profe,Profesora,"Por el medio, pero más cerca de los primeros",Dentro de la media,4,5,5,3,5,3,3,3,3,3,3,5,4,5,4,5,4,5,5,4,4
BIOINGENIERIA,SENIOR,306636,15,Chico,"Yo, Mis padres","2018, 2019, 2020 (online)",Sí,Muy buena,,Panadero,Anticuaria,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,4,5,1,1,5
BIOINGENIERIA,SENIOR,401142,15,Chica,Yo,No,Sí,Buena,,Ingeniero de montes y profesor de universidad,Ingeniero de montesy profesora de universidad,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,5,5,4,5,1,5,3,5,5,2,5,3,3,1,3,5
BIOINGENIERIA,SENIOR,401577,16,Chica,Yo,No,Sí,Buena,,Economía,Economía,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,3,5,1,1,4
BIOINGENIERIA,SENIOR,502000,14,Chica,Yo,No,Sí,Buena,,médico,funcionaria,Entre los primeros de la clase,Muy buen estudiante,4,5,5,1,1,4,5,4,4,1,4,3,4,4,1,4,3,5,1,1,4
BIOINGENIERIA,SENIOR,505006,15,Chica,Yo,No,Sí,Buena,,Bioquímica,Fisica quimica,Entre los primeros de la clase,Muy buen estudiante,5,5,4,1,1,4,5,5,5,1,5,5,5,5,3,5,5,5,1,2,4
BIOINGENIERIA,SENIOR,510488,14,Chica,Yo,No,Sí,Muy buena,,Director de un colegio mayor,Ingeniera aeronáutica en Airbus,Entre los primeros de la clase,Muy buen estudiante,5,5,5,2,1,5,5,4,5,1,5,4,5,5,3,5,3,3,1,2,5
BIOINGENIERIA,SENIOR,611459,13,Chica,"Yo, Mis padres","2017, 2018, 2019",Sí,Buena,,Economista.,Economista.,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,4,5,5,1,3,2,5,4,4,5,5,4,3,4,1,3,4,5,1,4,5
BIOINGENIERIA,SENIOR,701547,15,Chico,Yo,No,Sí,Muy buena,,Programación Informática,Estadística,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,4,2,1,4,5,4,5,1,5,4,5,5,3,4,3,4,1,3,4
BIOINGENIERIA,SENIOR,706261,17,Chica,"Yo, Mis padres",2019,Sí,Muy buena,,Es economista,Es economista,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,5,5,5,5,5,5,5,5,5,3,5,3,5,2,3,5
BIOINGENIERIA,SENIOR,707996,17,Chica,Yo,No,Sí,Buena,,Consultor,Gestora de ropa en Enagas,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,3,5,3,5,1,5,5,5,5,5,5,4,4,1,3,4
BIOINGENIERIA,SENIOR,804594,14,Chica,Yo,No,Sí,Muy buena,,Ingeniero técnico,Técnico de laboratorio,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,4,2,1,4,5,4,5,1,5,4,5,5,4,5,4,5,1,3,5
BIOINGENIERIA,SENIOR,806974,17,Chico,Yo,2017,Sí,Muy buena,,Director de Ventas,Profesora de Derecho,Entre los primeros de la clase,Buen estudiante,5,5,5,1,1,3,5,4,5,1,5,5,5,5,4,4,4,4,1,3,5
BIOINGENIERIA,SENIOR,908167,14,Chica,"Yo, Mis padres",No,Sí,Buena,,Mi padre es director de centro de asesoramiento en Banca Privada.,Mi madre trabaja en gestión financiera y es matemática.,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,4,5,5,5,2,4,5,5,5,3,5,4,3,1,4,4
BIOINGENIERIA,SENIOR,908167,14,Chica,"Yo, Mis padres",No,Sí,Buena,,Mi padre es director de centro de asesoramiento en Banca Privada.,Mi madre trabaja en gestión financiera y es matemática.,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,4,5,5,5,2,4,5,5,5,3,5,4,3,1,4,4
BIOINGENIERIA,SENIOR,1003516,15,Chica,Yo,2019,Sí,Muy buena,,Profesor de matemáticas  en icai,Joyera,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,4,5,4,2,1,4,5,4,4,2,5,4,4,4,2,4,4,3,2,2,4
BIOINGENIERIA,SENIOR,1006000,14,Chica,Yo,"2017, 2018, 2019, 2020 (online)",Sí,Muy buena,,Técnico en electrónica,Administrativa,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,5,5,5,5,3,5,5,5,5,3,3,5,5,1,2,5
BIOINGENIERIA,SENIOR,1006955,15,Chica,Yo,2019,Sí,Buena,,Arquitecto,Abogada,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,4,5,5,4,1,4,4,5,4,3,5,5,5,1,1,5
BIOINGENIERIA,SENIOR,1207020,14,Chica,Yo,No,No sé,Buena,,Físico,Promociones,"Por el medio, pero más cerca de los primeros",Buen estudiante,3,3,4,2,3,4,3,4,4,3,4,3,3,4,4,3,4,4,3,2,4
BIOINGENIERIA,SENIOR,1412021,14,Chica,Otros,No,Sí,Me da igual,,Informático,Informática,"Por el medio, pero más cerca de los últimos",Dentro de la media,5,5,4,1,1,4,4,4,4,1,4,4,3,3,2,3,2,4,1,2,2
BIOINGENIERIA,SENIOR,1610000,13,Chico,Yo,No,No sé,Buena,,desarrollador de software de televisiones,dirige una panadería,Entre los últimos de la clase,Buen estudiante,4,4,5,2,2,3,4,3,4,3,5,4,4,4,2,3,5,4,1,2,4
BIOINGENIERIA,SENIOR,1701279,16,Chica,Mis padres,No,Sí,Buena,,Empresario,No trabaja,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,4,1,1,4,5,4,5,1,5,5,5,5,3,5,3,4,1,4,3
BIOINGENIERIA,SENIOR,1701657,16,Chico,Yo,"2018, 2019",Sí,Muy buena,,Iberia,Cepsa,"Por el medio, pero más cerca de los últimos",Buen estudiante,5,5,5,1,1,4,5,3,5,4,4,5,5,4,3,4,2,4,2,3,4
BIOINGENIERIA,SENIOR,1704572,16,Chica,Yo,2017,Sí,Buena,,Fallecido,Jubilada,Entre los primeros de la clase,Buen estudiante,5,5,5,2,1,4,5,5,5,3,5,4,5,5,2,3,3,4,1,3,5
BIOINGENIERIA,SENIOR,1704950,14,Chico,"Yo, Mis padres, Mis amigos",No,No sé,Buena,,Abogado,Profesora de biología,"Por el medio, pero más cerca de los primeros",Dentro de la media,4,4,4,2,3,3,2,3,4,2,5,4,3,5,2,3,4,4,1,2,4
BIOINGENIERIA,SENIOR,1706015,16,Chico,Yo,2018,Sí,Muy buena,,Ingeniero industrial,Ingeniera industrial,"Por el medio, pero más cerca de los últimos",Dentro de la media,5,5,4,1,1,3,5,3,4,1,5,4,5,4,4,4,4,4,1,3,5
BIOINGENIERIA,SENIOR,1812143,14,Chica,Yo,No,Sí,Muy buena,,Ciberseguridad,Economista,"Por el medio, pero más cerca de los primeros",Dentro de la media,5,5,5,1,1,5,5,4,5,1,5,5,5,5,2,5,4,3,1,1,5
BIOINGENIERIA,SENIOR,2108376,13,Chico,Yo,2019,Sí,Buena,,Cantante de ópera,Profesora de español como lengua extrangera,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,4,5,5,2,1,3,5,4,5,2,5,4,5,4,1,5,4,4,1,2,4
BIOINGENIERIA,SENIOR,2205000,14,Chica,Yo,"2018, 2019, 2020 (online)",Sí,Muy buena,,Auditor,Dependienta,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,5,5,4,5,3,4,4,5,5,3,4,5,5,1,3,5
BIOINGENIERIA,SENIOR,2210491,16,Chica,Mis padres,No,No sé,Me da igual,,Ingeniero,Ingeniero,Entre los primeros de la clase,Buen estudiante,4,4,4,3,2,2,3,4,3,2,5,4,4,4,5,2,3,5,2,3,5
BIOINGENIERIA,SENIOR,2310590,14,Chica,Yo,2016,Sí,Buena,,Jefe de una serie de empresas y materiales sobre la naturaleza,Secretaria,Entre los primeros de la clase,Muy buen estudiante,4,5,5,1,1,3,4,4,5,3,4,4,5,4,2,3,4,4,1,2,4
BIOINGENIERIA,SENIOR,2312587,12,Chica,Yo,"2019, 2020 (online)",No sé,Buena,,Estudio la ingeniería de Caminos pero trabaja en el sector de la energía,Trabaja en un centeo de salud como médico y psicóloga,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,4,3,4,1,3,4,3,4,4,3,5,4,4,4,2,3,2,4,2,1,4
BIOINGENIERIA,SENIOR,2312599,16,Chica,Mis padres,No,No sé,Me da igual,,Inspector de Hacienda,Empresa farmacéutica,Entre los primeros de la clase,Muy buen estudiante,4,3,4,2,2,1,3,3,3,2,5,4,3,4,5,3,2,4,3,5,3
BIOINGENIERIA,SENIOR,2407298,15,Chico,Yo,No,Sí,Muy buena,,Ingeniero de telecomunicaciones,Ingeniera de telecomunicaciones,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,4,5,3,1,1,5
BIOINGENIERIA,SENIOR,2409336,14,Chico,"Yo, Mis padres, Mis amigos",No,Sí,Me da igual,,Topografía.,Recursos Humanos en la UNED.,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,4,3,1,2,2,4,5,5,3,5,4,4,4,1,3,3,4,1,1,3
BIOINGENIERIA,SENIOR,2505253,15,Chico,Yo,2019,Sí,Buena,,Arquitecto,Arquitecta,Entre los primeros de la clase,Buen estudiante,5,5,5,2,1,5,5,4,5,1,5,4,5,5,2,5,4,5,1,2,5
BIOINGENIERIA,SENIOR,2605000,14,Chica,Yo,No,No sé,Buena,,Consultoría,Medicina,"Por el medio, pero más cerca de los primeros",Buen estudiante,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
BIOINGENIERIA,SENIOR,2605041,15,Chica,"Yo, Mis padres, Mis amigos",No,Sí,Buena,,Abogado,Asistente,"Por el medio, pero más cerca de los primeros",Dentro de la media,5,5,5,2,1,5,5,4,5,1,5,5,5,5,2,5,2,4,1,2,4
BIOINGENIERIA,SENIOR,2606000,14,Chico,Yo,No,Sí,Muy buena,,Medicina,Medicina,Entre los primeros de la clase,Buen estudiante,5,5,5,1,1,3,5,5,5,1,5,5,5,5,1,5,5,5,1,1,5
BIOINGENIERIA,SENIOR,2708654,14,Chico,Yo,"2016, 2017, 2018, 2019",No sé,Muy buena,,estadística,farmacéutica,"Por el medio, pero más cerca de los primeros",Muy buen estudiante,5,3,4,1,3,3,4,5,5,2,5,3,4,5,2,3,5,5,1,1,4
BIOINGENIERIA,SENIOR,2812778,15,Chico,Mis padres,No,No,Buena,,Derecho,Profesora,"Por el medio, pero más cerca de los últimos",Dentro de la media,2,1,4,3,5,3,2,3,3,2,5,4,2,3,4,1,4,4,3,4,5
BIOINGENIERIA,SENIOR,3110083,14,Chica,Yo,"2016, 2017, 2018, 2019, 2020 (online)",Sí,Muy buena,,Abogacía,Abogacía,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,5,5,1,1,4,5,4,5,3,5,4,5,5,3,2,4,5,1,2,4
BIOINGENIERIA,SENIOR,17305443,16,Chica,Mis padres,No,Sí,Buena,,Profesor de electrónica e ingeniería,Científica,Entre los primeros de la clase,Buen estudiante,4,5,5,1,1,3,5,3,4,2,5,5,5,5,3,5,4,5,1,4,5
CIBERSEGURIDAD,SENIOR,23567,14,Chico,Yo,2018,No sé,Me da igual,,Ns,Ns,Entre los últimos de la clase,Muy mal estudiante,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3
CIBERSEGURIDAD,SENIOR,104324,17,Chico,Yo,"2016, 2017, 2018, 2019, 2020 (online)",Sí,Muy buena,,Informático,Maestra,Entre los primeros de la clase,Muy buen estudiante,5,5,5,1,1,4,5,4,4,1,5,5,5,5,1,5,4,5,1,3,4
CIBERSEGURIDAD,SENIOR,106789,16,Chico,Mis padres,"2016, 2017, 2018, 2019, 2020 (online)",Sí,Buena,,telecomunicaciones,quimica industrial,Entre los primeros de la clase,Buen estudiante,5,5,5,1,3,3,5,5,5,2,4,5,3,4,2,3,4,5,1,1,5
CIBERSEGURIDAD,SENIOR,245234,16,Chico,Yo,No,Sí,Buena,,Caixa,BNB Paribas,"Por el medio, pero más cerca de los últimos",Dentro de la media,4,5,5,3,1,2,4,3,4,4,5,4,4,4,3,2,4,3,1,4,4
CIBERSEGURIDAD,SENIOR,303941,14,Chico,Yo,"2018, 2019",Sí,Buena,,Fallecido,Funcionaria,"Por el medio, pero más cerca de los primeros",Buen estudiante,5,4,5,2,2,3,4,4,5,3,4,4,4,4,2,3,4,4,1,2,4
CIBERSEGURIDAD,SENIOR,304000,15,Chico,Mis padres,No,Sí,Buena,,Hace máquinas,Farmacia,Entre los primeros de la clase,Buen estudiante,4,3,4,2,3,2,4,3,4,3,4,4,3,3,2,3,3,4,2,2,3
CIBERSEGURIDAD,SENIOR,305405,14,Chico,Yo,No,Sí,Buena,,director de inversiones,en caja,"Por el medio, pero más cerca de los últimos",Buen estudiante,4,4,4,4,4,3,4,4,4,4,4,4,4,3,5,4,5,5,2,2,4
CIBERSEGURIDAD,SENIOR,507145,14,Chico,Mis padres,No,Sí,Buena,,mi padre es director internacional de recursos humanos en securitas direct,Trabaja de empleada del banco de España,"Por el medio, pero más cerca de los últimos",Buen estudiante,4,4,4,2,2,2,4,3,4,4,4,4,4,3,2,2,4,4,1,2,2
CIBERSEGURIDAD,SENIOR,703949,14,Chico,"Yo, Otros",No,Sí,Buena,,funcionario,funcionaria,Entre los primeros de la clase,Muy buen estudiante,4,5,3,1,1,3,5,4,5,2,5,4,5,5,1,2,3,2,1,1,1
CIBERSEGURIDAD,SENIOR,710906,15,Chico,Yo,No,Sí,Muy buena,,Finanzas,Ingeniera de telecomunicaciones,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,5,5,1,1,4,5,3,4,1,4,5,5,4,3,5,3,4,1,3,4
CIBERSEGURIDAD,SENIOR,811406,16,Chico,Yo,"2017, 2018, 2019",No,Me da igual,,cientifico,funcionaria,Entre los últimos de la clase,Dentro de la media,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CIBERSEGURIDAD,SENIOR,908497,15,Chico,"Yo, Mis padres",No,Sí,Muy buena,,Ingeniero agrónomo,Enfermera,Entre los primeros de la clase,Buen estudiante,4,5,5,1,2,3,5,4,4,3,5,4,4,3,3,3,4,4,2,1,4
CIBERSEGURIDAD,SENIOR,1005078,16,Chico,Yo,No,Sí,Buena,,policia,empresaria,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,5,4,1,1,3,4,4,4,1,4,4,4,5,4,3,4,4,5,4,4
CIBERSEGURIDAD,SENIOR,1006462,17,Chico,Yo,2019,Sí,Buena,,Directivo de una empresa.,Directiva de una empresa.,"Por el medio, pero más cerca de los primeros",Buen estudiante,4,5,4,1,1,4,5,3,4,2,5,4,4,3,4,2,3,4,1,5,4
